Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0092226,-0.00011073,0.031938,0,0,0,0.42711,0.00016369,-1.1862E-09,7.6942E-07,0.00032482,-5.9479E-08,0.00046238,0,0,0,0,0,0,package://jetspider_description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/base_link.STL,,jetspider.stp-1/body_link.stp-1,bady_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_center_LF,0.062709,0.062661,-0.028897,0,0,0,0.070703,1.7308E-05,-1.2638E-06,6.0336E-07,1.7297E-05,5.989E-07,1.2747E-05,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_LF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_LF.STL,,jetspider.stp-1/coxa_LF.stp-1;jetspider.stp-1/femur_LF.stp-1;jetspider.stp-1/tibla_LF.stp-1,leg_center_LF,基准轴2,leg_center_LF_joint,fixed,0.10463,0.050629,0.016552,0,0,0,base_link,0,0,0,1,1,-1,1,,,,,,,,
coxa_LF,0.020827,-0.00060216,0.00091868,0,0,0,0.008009,1.7808E-06,-5.4871E-12,3.0202E-10,2.056E-06,2.821E-11,1.9917E-06,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_LF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_LF.STL,,jetspider.stp-1/coxa_LF.stp-1,coxa_LF,基准轴2,coxa_LF_joint,revolute,0,0,0,-0.0010803,-0.0010787,0.78612,leg_center_LF,0.0010787,-0.0010802,1,1,1,-2.2,0.5,,,,,,,,
femur_LF,0.027409,0.0020759,-0.00032968,0,0,0,0.030408,4.5672E-06,-7.3482E-07,-2.4696E-09,6.7055E-06,3.7044E-09,6.8684E-06,0,0,0,0,0,0,package://jetspider_description/meshes/femur_LF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/femur_LF.STL,,jetspider.stp-1/femur_LF.stp-1,femur_LF,基准轴8,femur_LF,revolute,0.045042,-0.00052682,0.0011277,-1.5708,0.0010787,0,coxa_LF,0,0,1,1,1,-1.75,1.75,,,,,,,,
tibla_LF,0.034520599139345,-0.00436773919553068,0.000431221313703826,0,0,0,0.0322859353853485,4.05019253948108E-06,1.14495771847975E-07,5.12974765521424E-10,9.69065547605506E-06,1.81843843533494E-09,9.64190279112211E-06,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_LF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_LF.STL,,jetspider.stp-1/tibla_LF.stp-1,tibla_LF,基准轴1,tibla_LF_joint,revolute,0.071317,0.029326,0.00086661,0.00046199,-0.0012097,1.5707,femur_LF,0,0,1,0,0,0,-1.35,,,,,,,,
end_LF,-0.080668,0.0053663,-0.00074274,0,0,0,0.032286,4.0502E-06,1.145E-07,5.1297E-10,9.6907E-06,1.8184E-09,9.6419E-06,0,0,0,0,0,0,package://jetspider_description/meshes/end_LF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/end_LF.STL,,jetspider.stp-1/tibla_LF.stp-1,end_LF,,end_LF_joint,fixed,0.11519,-0.0097341,0.001174,0,0,0,tibla_LF,0,0,0,,,,,,,,,,,,
leg_center_LM,6.65269913181575E-05,0.0886496710595015,-0.0288978208479567,0,0,0,0.0707022741582011,1.85656991867687E-05,4.04907522436712E-09,-2.54227617889255E-09,1.60385167746349E-05,8.50107844124889E-07,1.27465438244877E-05,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_LM.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_LM.STL,,jetspider.stp-1/tibla_LM.stp-1;jetspider.stp-1/coxa_LM.stp-1;jetspider.stp-1/femur_LM.stp-1,leg_center_LM,基准轴3,leg_center_LM,revolute,0.011327,0.073537,0.016552,0,-0.001086,0.00072249,base_link,-0.0010859,0,-1,1,1,-1,1,,,,,,,,
coxa_LM,0.0208230984511352,-0.000587340955009638,0.000941936217372069,0,0,0,0.0080084972594454,1.78065618437487E-06,1.97158402707407E-10,6.15894218812535E-11,2.05537898024426E-06,-5.32412067994362E-11,1.99086112412171E-06,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_LM.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_LM.STL,,jetspider.stp-1/coxa_LM.stp-1,coxa_LM,基准轴3,coxa_LM,revolute,0,0,0,0.001086,0,1.5701,leg_center_LM,0,0,-1,1,1,-2.2,0.5,,,,,,,,
femur_LM,0.027409400026429,0.00207603562453806,-0.000429710637778516,0,0,0,0.0304078173134494,4.5672261031924E-06,-7.34819329535325E-07,-2.46531835663522E-09,6.70545397477438E-06,3.70562158366224E-09,6.86841433496768E-06,0,0,0,0,0,0,package://jetspider_description/meshes/femur_LM.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/femur_LM.STL,,jetspider.stp-1/femur_LM.stp-1,femur_LM,基准轴9,femur_LM_joint,revolute,0.045042,-0.00039312,0.0011769,-1.5719,0,0.00072249,coxa_LM,0,0,-1,1,1,-1.75,1.75,,,,,,,,
tibla_LM,0.034523,-0.0043709,-0.0028527,0,0,0,0.032286,4.0502E-06,1.1523E-07,-2.0521E-10,9.6906E-06,1.8348E-09,9.6419E-06,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_LM.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_LM.STL,,jetspider.stp-1/tibla_LM.stp-1,tibla_LM,基准轴14,tibla_LM_joint,revolute,0.07132,0.02932,0.0040547,0.00039899,-0.0010859,1.5708,femur_LM,0,0,-1,1,1,-1.75,1.35,,,,,,,,
end_LM,-0.0806672202595327,0.00537685354283063,-0.000752840074036222,0,0,0,0.0322859595853063,4.05022182609613E-06,1.15228542712615E-07,-2.0521404257042E-10,9.6906355306572E-06,1.83477032157721E-09,9.64191172746265E-06,0,0,0,0,0,0,package://jetspider_description/meshes/end_LM.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/end_LM.STL,,jetspider.stp-1/tibla_LM.stp-1,end_LM,,end_LM_joint,fixed,0.11519,-0.0097478,-0.0020999,0,0,0,tibla_LM,0,0,0,,,,,,,,,,,,
leg_center_LR,-0.063486907293404,0.0619151053263785,-0.0288285650776862,0,0,0,0.0707027974809608,1.72977142197449E-05,1.2645021339145E-06,-6.03406238014282E-07,1.73058942186392E-05,6.02419839734648E-07,1.27487197063126E-05,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_LR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_LR.STL,,jetspider.stp-1/coxa_LR.stp-1;jetspider.stp-1/femur_LR.stp-1;jetspider.stp-1/tibla_LR.stp-1,leg_center_LR,基准轴4,leg_center_LR_joint,revolute,-0.082126,0.050982,0.016552,0,-0.001086,0.00072249,base_link,0.001086,0,1,1,1,-1,1,,,,,,,,
coxa_LR,0.0208260679846264,-0.00060398113997108,0.000941790514813023,0,0,0,0.00800902559920303,1.7807568552564E-06,3.19565595814465E-11,7.42054233443049E-11,2.05598966051226E-06,-4.12774966097592E-11,1.99172836296042E-06,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_LR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_LR.STL,,jetspider.stp-1/coxa_LR.stp-1,coxa_LR,基准轴4,coxa_LR_joint,revolute,0,0,0,0.00076805,-0.00076775,2.356,leg_center_LR,0,0,1,1,1,-1,1,,,,,,,,
femur_LR,0.027415,0.0020466,0.00035246,0,0,0,0.030408,4.5657E-06,-7.3259E-07,-2.8659E-09,6.707E-06,3.5772E-09,6.8684E-06,0,0,0,0,0,0,package://jetspider_description/meshes/femur_LR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/femur_LR.STL,,jetspider.stp-1/femur_LR.stp-1,femur_LR,基准轴10,femur_LR_joint,revolute,0.045039,0.00014539,0.0011769,-1.5718,0.0010443,0,coxa_LR,0,0,0,1,1,-1.75,1.75,,,,,,,,
tibla_LR,0.0345225360016092,-0.00437095057278222,-0.00115270827529057,0,0,0,0.0322859214482936,4.05022187436025E-06,1.15226433936256E-07,-2.03686764196181E-10,9.69062240808842E-06,1.8364116188882E-09,9.64190017294607E-06,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_LR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_LR.STL,,jetspider.stp-1/tibla_LR.stp-1,tibla_LR,基准轴15,tibla_LR_joint,revolute,0.071353,0.029246,0.0031441,0.00020896,-0.0010431,1.5698,femur_LR,0,0,0,1,1,-1.75,1.375,,,,,,,,
end_LR,-0.080667215427673,0.00537700714465206,-0.000751712954925793,0,0,0,0.0322859214482936,4.05022187436025E-06,1.15226473983572E-07,-1.79608679135307E-10,9.69062163847618E-06,1.84659261087186E-09,9.64190094255831E-06,0,0,0,0,0,0,package://jetspider_description/meshes/end_LR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/end_LR.STL,,jetspider.stp-1/tibla_LR.stp-1,end_LR,,end_LR,fixed,0.11519,-0.0097478,-0.00039987,-0.00020896,0,0,tibla_LR,0,0,0,,,,,,,,,,,,
len_center_RF,0.0627112287767968,-0.0626627362720817,-0.028898505209011,0,0,0,0.0707017731524267,1.73060623462834E-05,1.26229970193679E-06,6.03808007087058E-07,1.72961794524477E-05,-5.99100284056401E-07,1.27441501788055E-05,0,0,0,0,0,0,package://jetspider_description/meshes/len_center_RF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/len_center_RF.STL,,jetspider.stp-1/coxa_RF.stp-1;jetspider.stp-1/femur_RF.stp-1;jetspider.stp-1/tibla_RF.stp-1,leg_center_RF,,len_center_RF_joint,revolute,0.10463,-0.050623,0.016552,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
coxa_RF,0.0208301335511061,0.000601795729344101,0.000943368822869661,0,0,0,0.00800625066980003,1.78069404907096E-06,-7.23362702540829E-12,4.72368126396005E-10,2.05265298630991E-06,5.55050012091928E-11,1.98823428923405E-06,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_RF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_RF.STL,,jetspider.stp-1/coxa_RF.stp-1,coxa_RF,基准轴5,coxa_RF_joint,revolute,0,0,0,0,0,-0.78612,len_center_RF,0,0,0,1,1,-2.2,0.5,,,,,,,,
femur_RF,0.0274094462802539,-0.00207607057413438,-0.000330455707292194,0,0,0,0.0304087274461354,4.56725587288289E-06,7.34961461443742E-07,-2.07252167642043E-09,6.70569543017797E-06,-3.84729469619259E-09,6.86864393765622E-06,0,0,0,0,0,0,package://jetspider_description/meshes/femur_RF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/femur_RF.STL,,jetspider.stp-1/femur_RF.stp-1,femur_RF,基准轴11,femur_RF_joint,revolute,0.045041,0.0005255,0.0011769,1.5719,0,0,coxa_RF,0,0,0,1,1,-1.75,1.75,,,,,,,,
tibla_RF,0.0345197432026178,0.00437193332215066,0.000335321012643237,0,0,0,0.0322867950364913,4.05021216367336E-06,-1.15146679997241E-07,-1.91954754814698E-10,9.69086696631736E-06,-1.83202588730218E-09,9.6421362822138E-06,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_RF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_RF.STL,,jetspider.stp-1/tibla_RF.stp-1,tibla_RF,基准轴16,tibla_RF_joint,revolute,0.071317,-0.029326,0.00096668,-0.00046096,-0.0010802,-1.5708,femur_RF,0,0,0,1,1,-1.75,1.375,,,,,,,,
end_RF,-0.0806674711194837,-0.00537709200989892,-0.00075349334547296,0,0,0,0.0322867950364913,4.05021216367336E-06,-1.15146679997241E-07,-1.91954754814569E-10,9.69086696631736E-06,-1.83202588730176E-09,9.6421362822138E-06,0,0,0,0,0,0,package://jetspider_description/meshes/end_RF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/end_RF.STL,,jetspider.stp-1/tibla_RF.stp-1,end_RF,,end_RF_joint,fixed,0.11519,0.009749,0.0010888,0,0,0,tibla_RF,0,0,0,,,,,,,,,,,,
leg_center_RM,6.71728618092171E-05,-0.088652509933164,-0.0288983487186988,0,0,0,0.0707023822562393,1.85642340212024E-05,-3.70091955666227E-09,-2.42228511136159E-09,1.60388895073221E-05,-8.50620060316199E-07,1.2745108589208E-05,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_RM.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_RM.STL,,jetspider.stp-1/tibla_RM.stp-1;jetspider.stp-1/femur_RM.stp-1;jetspider.stp-1/coxa_RM.stp-1,leg_center_RM,基准轴6,leg_center_RM_joint,revolute,0.011327,-0.073531,0.016552,0,-0.0010946,-0.00072621,base_link,0.0010945,0,1,1,1,-1,1,,,,,,,,
