Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
coxa_RM,0.0208333219151835,0.000602883324677425,0.000943376818818203,0,0,0,0.00800683838342802,1.78075804055473E-06,-3.49295815265408E-10,5.11987179454048E-10,2.05344553623417E-06,5.66000525116428E-11,1.98918806884147E-06,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_RM.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_RM.STL,,jetspider.stp-1/coxa_RM.stp-1,coxa_RM,基准轴6,coxa_RM_joint,fixed,0,0,0,-0.0010945,0,-1.5708,leg_center_RM,0,0,0,1,1,-2.2,0.5,,,,,,,,
femur_RM,0.027409,-0.0020764,-0.00058063,0,0,0,0.030409,4.5673E-06,7.3496E-07,-2.0688E-09,6.7057E-06,-3.8481E-09,6.8687E-06,0,0,0,0,0,0,package://jetspider_description/meshes/femur_RM.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/femur_RM.STL,,jetspider.stp-1/femur_RM.stp-1,femur_RM,基准轴12,femur_RM_joint,revolute,0.045041,0.00027583,0.0011769,1.5719,0,0,coxa_RM,0,0,0,1,1,-1.75,1.75,,,,,,,,
tibla_RM,0.0345197231554454,0.00437192739345352,0.000435322910133797,0,0,0,0.0322868046701525,4.05021298024197E-06,-1.15144893409798E-07,-1.89987198681029E-10,9.69087173648503E-06,-1.83197629956773E-09,9.6421406347047E-06,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_RM.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_RM.STL,,jetspider.stp-1/tibla_RM.stp-1,tibla_RM,基准轴17,tibla_RM_joint,revolute,0.071317,-0.029326,0.00061658,-0.00046804,-0.0010945,-1.5708,femur_RM,0,0,0,1,1,-1.75,1.375,,,,,,,,
end_RM,-0.076178,-0.0070054,-0.016503,0,0,0,0.032287,4.0502E-06,-1.1514E-07,-1.8999E-10,9.6909E-06,-1.832E-09,9.6421E-06,0,0,0,0,0,0,package://jetspider_description/meshes/end_RM.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/end_RM.STL,,jetspider.stp-1/tibla_RM.stp-1,end_RM,,end_RM_joint,fixed,0.1107,0.011377,0.016938,0,0,0,tibla_RM,0,0,0,,,,,,,,,,,,
leg_center_RR,-0.0634887978531131,-0.0619179936407745,-0.0288290186331524,0,0,0,0.07070178198521,1.72967836933087E-05,-1.26296539079277E-06,-6.03643568248503E-07,1.73041407297256E-05,-6.02861591634084E-07,1.27454688120884E-05,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_RR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_RR.STL,,jetspider.stp-1/coxa_RR.stp-1;jetspider.stp-1/femur_RR.stp-1;jetspider.stp-1/tibla_RR.stp-1,leg_center_RR,基准轴7,leg_center_RR_joint,revolute,-0.082126,-0.050977,0.016552,0,-0.0010946,-0.00072621,base_link,-0.0010946,0,-1,1,1,-1,1,,,,,,,,
coxa_RR,0.0208300546186989,0.000604691028294902,0.00094336617321282,0,0,0,0.00800625170356148,1.78069428996918E-06,-4.47002846112363E-11,4.72415702257297E-10,2.05265338945827E-06,5.55533108224657E-11,1.98823494021617E-06,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_RR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_RR.STL,,jetspider.stp-1/coxa_RR.stp-1,coxa_RR,基准轴7,coxa_RR_joint,revolute,0,0,0,-0.00077413,-0.00077383,-2.356,leg_center_RR,0,0,0,1,1,-2.2,0.5,,,,,,,,
femur_RR,0.0274130257561246,-0.00207545936684163,0.000251574248866401,0,0,0,0.0304087508090632,4.56726063759176E-06,7.34962945748434E-07,-2.47360506519538E-09,6.70569831050034E-06,-3.71849241314787E-09,6.86864557994892E-06,0,0,0,0,0,0,package://jetspider_description/meshes/femur_RR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/femur_RR.STL,,jetspider.stp-1/femur_RR.stp-1,femur_RR,基准轴13,femur_RR_joint,revolute,0.045039,-0.00024527,0.0011769,1.5718,0,0,coxa_RR,0,0,0,1,1,-1.75,1.75,,,,,,,,
tibla_RR,0.0345197859994958,0.00437192658746524,0.000185314232988586,0,0,0,0.0322867794725853,4.05021157957473E-06,-1.15144736290483E-07,-1.91594129589087E-10,9.69086279242901E-06,-1.83198194484078E-09,9.64213171543436E-06,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_RR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_RR.STL,,jetspider.stp-1/tibla_RR.stp-1,tibla_RR,基准轴18,tibla_RR_joint,fixed,0.071321,-0.029325,0.0017059,-0.00027645,-0.0010484,-1.5708,femur_RR,0,0,0,1,1,-1.75,1.375,,,,,,,,
end_RR,-0.0806674607229642,-0.00537708332213341,-0.000753497664859659,0,0,0,0.0322867794725853,4.05021157957473E-06,-1.15144736290483E-07,-1.91594129589143E-10,9.690862792429E-06,-1.83198194484163E-09,9.64213171543435E-06,0,0,0,0,0,0,package://jetspider_description/meshes/end_RR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/end_RR.STL,,jetspider.stp-1/tibla_RR.stp-1,end_RR,,end_RR_joint,fixed,0.11519,0.009749,0.00093881,0,0,0,tibla_RR,0,0,0,,,,,,,,,,,,
lidar_link,-8.56383964397134E-05,-0.000153320671133311,0.0152497444954137,0,0,0,0.0385601104054761,4.66228371647298E-06,-1.60675725697696E-07,5.26422845391142E-09,4.71625217232386E-06,1.11790586293048E-08,7.61232566095766E-06,0,0,0,0,0,0,package://jetspider_description/meshes/lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/lidar_link.STL,,jetspider.stp-1/lidar_link.stp-1,lidar_link,基准轴33,lidar_link_joint,fixed,0.10163,0.00022075,0.035152,0,-0.001086,0.00072249,base_link,-0.00068199,0,-1,1,1,,,,,,,,,,
link1,-0.000115601001310375,-0.000761364095580724,0.0238385325504478,0,0,0,0.0277278070631146,5.0532508199199E-06,-2.40758484775051E-09,-4.54541090193492E-09,5.93118021686239E-06,-3.46744018562952E-11,3.58852083380717E-06,0,0,0,0,0,0,package://jetspider_description/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/link1.STL,,jetspider.stp-1/link1.stp-1,link1,基准轴33,link1_joint,revolute,0.065006,0,0.082583,0,0,0,base_link,0.00040398,0,-1,1000,10,-2.09,2.09,,,,,,,,
link2,4.1010157209101E-05,-0.000694057243827729,0.0514181827540204,0,0,0,0.0210427289446956,6.72114564721012E-06,-5.13228352087237E-09,-1.65997726389615E-09,6.23773042781512E-06,-2.04461804656088E-08,3.00198371794843E-06,0,0,0,0,0,0,package://jetspider_description/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/link2.STL,,jetspider.stp-1/link2.stp-1,link2,基准轴21,link2_joint,revolute,-2.7885E-05,0.00045188,0.043027,0,0,0,link1,0,-1,0,1000,10,-2.09,2.09,,,,,,,,
link3,4.05419618318067E-05,-0.000586002759037127,-0.0510182741398452,0,0,0,0.0211571021013688,6.61842986869477E-06,5.14041810274722E-09,1.6357501248396E-09,6.22645851799546E-06,-2.04453327156949E-08,2.89992701252631E-06,0,0,0,0,0,0,package://jetspider_description/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/link3.STL,,jetspider.stp-1/link3.stp-1,link3,基准轴22,link3_joint,revolute,0,-0.00015386,0.08,3.1416,0,1.2291E-05,link2,0,-1,0,1000,10,-2.09,2.09,,,,,,,,
link4,0.0041154,0.00090347,0.029224,0,0,0,0.015783,3.7804E-06,1.6246E-09,-1.2369E-07,3.0994E-06,5.1824E-09,4.0348E-06,0,0,0,0,0,0,package://jetspider_description/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/link4.STL,,jetspider.stp-1/link4.stp-1,link4,基准轴23,link4_joint,revolute,0.00035733,0.0010042,-0.080556,-3.1416,-0.014429,0,link3,0,-1,0,1000,10,-2.09,2.09,,,,,,,,
link5,-2.24666295789572E-05,3.54457229886918E-09,0.00151538744024715,0,0,0,0.00101779699680274,2.35880126513687E-08,-5.97493858330121E-13,-3.02369822751418E-10,2.35857902919971E-08,-4.93558683349367E-16,4.40296834322742E-08,0,0,0,0,0,0,package://jetspider_description/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/link5.STL,,jetspider.stp-1/link5.stp-1,link5,基准轴32,link5_joint,revolute,-0.0010511,0.0027762,0.049547,0,0,0,link4,-0.01479,0,0.99989,1000,10,-2.09,2.09,,,,,,,,
gripper_link,0.0096550935887989,0.00430238900221939,0.0291009875554334,0,0,0,0.0148667838577115,2.94740380143759E-06,-5.3315958398884E-08,-1.69086999364613E-07,1.70024945439746E-06,8.84314572123812E-09,1.98276355570594E-06,0,0,0,0,0,0,package://jetspider_description/meshes/gripper_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/gripper_link.STL,,jetspider.stp-1/gripper_link.stp-1,gripper_link,,gripper_link_joint,fixed,-5.1766E-05,0,0.0034996,0,0,0,link5,0,0,0,,,,,,,,,,,,
l_in_link,0.0017483,-7.3491E-05,0.013616,0,0,0,0.00043798,5.3567E-08,-1.3686E-12,-4.7543E-12,5.292E-08,2.765E-10,1.2713E-09,0,0,0,0,0,0,package://jetspider_description/meshes/l_in_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/l_in_link.STL,,jetspider.stp-1/l_in_link.stp-1,l_in_link,基准轴28,r_joint,revolute,-0.0069227,0.0050038,0.052592,-0.70347,-0.013488,0.00018494,gripper_link,-0.99999,0.0034451,0.0016887,1000,10,-1.57,1.57,,,,,,,,
l_out_link,0.00297930252263461,-0.0066739060085301,0.0219160303591568,0,0,0,0.00303593505052185,2.83233363900922E-07,-6.30630005681959E-11,2.30511385630529E-10,2.54222721547059E-07,6.04023400914788E-08,5.02045930399684E-08,0,0,0,0,0,0,package://jetspider_description/meshes/l_out_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/l_out_link.STL,,jetspider.stp-1/l_out_link.stp-1,l_out_link,基准轴29,r_joint,revolute,0.0030265,0.018969,0.021354,0.70347,0.00011962,-0.00014102,l_in_link,-1,0.00035671,-0.00094066,1000,10,-1.57,1.57,,,,,,,,
l_link,0.0014957,-0.00057138,0.0064437,0,0,0,0.0020745,4.1105E-07,-5.4782E-11,1.9023E-10,3.3665E-07,-1.124E-08,7.7506E-08,0,0,0,0,0,0,package://jetspider_description/meshes/l_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/l_link.STL,,jetspider.stp-1/l_link.stp-1,l_link,基准轴30,r_joint,revolute,-0.0066671,0.014011,0.033624,-0.69813,-0.013488,0.00018494,gripper_link,-1,0,0,1000,10,-1.57,1.57,,,,,,,,
r_in_link,0.0017449715909225,4.83723236602285E-05,0.0136380601242236,0,0,0,0.000437979471912274,5.35705354620526E-08,1.23652664167038E-12,8.04045092635619E-12,5.29216188825066E-08,-1.81450628867979E-10,1.2722876172161E-09,0,0,0,0,0,0,package://jetspider_description/meshes/r_in_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/r_in_link.STL,,jetspider.stp-1/r_in_link.stp-1,r_in_link,基准轴27,r_joint,revolute,-0.0069226,-0.0049819,0.052575,0.70163,-0.013488,0.00018494,gripper_link,-0.99999,-0.0031333,0.0014163,1000,10,-1.57,1.57,,,,,,,,
r_out_link,0.0030222,0.006672,0.02192,0,0,0,0.0030357,2.8323E-07,6.173E-11,2.3086E-10,2.5422E-07,-6.0409E-08,5.0201E-08,0,0,0,0,0,0,package://jetspider_description/meshes/r_out_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/r_out_link.STL,,jetspider.stp-1/r_out_link.stp-1,r_out_link,基准轴26,r_joint,revolute,0.0029727,-0.01901,0.021336,-0.70163,-0.00011936,-0.00014124,r_in_link,-1,-0.00010909,-0.00094066,1000,10,-1.57,1.57,,,,,,,,
r_link,0.00149476093597167,0.000447162363651166,0.0059221337188245,0,0,0,0.00222244841708054,4.21512195115711E-07,3.25494757652172E-11,2.85606209630118E-10,3.47695312233372E-07,9.49290831858991E-09,7.71510783606036E-08,0,0,0,0,0,0,package://jetspider_description/meshes/r_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/r_link.STL,,jetspider.stp-1/r_link.stp-1,r_link,基准轴31,r_joint,revolute,-0.0066673,-0.013997,0.033624,0.69807,-0.013488,0.00018494,gripper_link,-1,-0.00045813,-0.00084354,10000,10,-1.57,1.57,,,,,,,,
camera_connet_link,-0.00028895,0.0050121,0.0010007,0,0,0,0.0021651,1.8647E-07,-1.5805E-10,-1.0201E-13,4.9377E-07,-2.8516E-12,6.788E-07,0,0,0,0,0,0,package://jetspider_description/meshes/camera_connet_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/camera_connet_link.STL,,jetspider.stp-1/camera_connect_link.stp-1,camera_connet_link,,camera_connet_link_joint,fixed,-0.041496,0.0022579,0.043863,0.014429,0,-1.5708,link4,0,0,0,,,,,,,,,,,,
depth_cam_link,-0.0038865,-0.00014977,-5.6764E-05,0,0,0,0.014151,7.8098E-06,6.8139E-09,8.1395E-10,8.6041E-07,1.6087E-09,7.3515E-06,0,0,0,0,0,0,package://jetspider_description/meshes/depth_cam_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/depth_cam_link.STL,jetspider,jetspider.stp-1/depth_cam_link.stp-1,depth_cam_link,,depth_cam_link_joint,fixed,-0.0005708,5.8821E-05,0.016207,1.5708,-1.5708,0,camera_connet_link,0,0,0,,,,,,,,,,,,
